id;uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;ID cidade;distancia_txt;dist_value;duracao_txt;duracao_value;status
16798;SP;BRAÚNA;ARAÇATUBA;SP 3507704;ITAPETININGA;SP;SP 3507704/ITAPETININGA;406 km;405952;4 horas 48 minutos;17266;OK
16799;SP;BREJO ALEGRE;ARAÇATUBA;SP 3507753;ITAPETININGA;SP;SP 3507753/ITAPETININGA;423 km;422864;5 horas 11 minutos;18630;OK
16800;SP;BRODOWSKI;RIBEIRÃO PRETO;SP 3507803;ITAPETININGA;SP;SP 3507803/ITAPETININGA;378 km;377574;4 horas 28 minutos;16102;OK
16801;SP;BROTAS;PIRACICABA;SP 3507902;ITAPETININGA;SP;SP 3507902/ITAPETININGA;254 km;253537;3 horas 11 minutos;11464;OK
16802;SP;BURI;ITAPETININGA;SP 3508009;ITAPETININGA;SP;SP 3508009/ITAPETININGA;94,3 km;94255;1 hora 18 minutos;4658;OK
16803;SP;BURITAMA;ARAÇATUBA;SP 3508108;ITAPETININGA;SP;SP 3508108/ITAPETININGA;450 km;450306;5 horas 21 minutos;19245;OK
16804;SP;BURITIZAL;RIBEIRÃO PRETO;SP 3508207;ITAPETININGA;SP;SP 3508207/ITAPETININGA;467 km;466954;5 horas 27 minutos;19596;OK
16805;SP;CABRÁLIA PAULISTA;BAURU;SP 3508306;ITAPETININGA;SP;SP 3508306/ITAPETININGA;263 km;263100;3 horas 7 minutos;11227;OK
16806;SP;CABREÚVA;MACRO MET. PAULISTA;SP 3508405;ITAPETININGA;SP;SP 3508405/ITAPETININGA;153 km;152501;1 hora 58 minutos;7105;OK
16807;SP;CAÇAPAVA;VALE DO PARAÍBA;SP 3508504;ITAPETININGA;SP;SP 3508504/ITAPETININGA;291 km;291161;3 horas 41 minutos;13264;OK
16808;SP;CACHOEIRA PAULISTA;VALE DO PARAÍBA;SP 3508603;ITAPETININGA;SP;SP 3508603/ITAPETININGA;380 km;380226;4 horas 37 minutos;16636;OK
16809;SP;CACONDE;CAMPINAS;SP 3508702;ITAPETININGA;SP;SP 3508702/ITAPETININGA;374 km;373759;4 horas 27 minutos;16027;OK
16810;SP;CAFELÂNDIA;BAURU;SP 3508801;ITAPETININGA;SP;SP 3508801/ITAPETININGA;319 km;319429;3 horas 54 minutos;14047;OK
16811;SP;CAIABU;PRESIDENTE PRUDENTE;SP 3508900;ITAPETININGA;SP;SP 3508900/ITAPETININGA;413 km;412672;5 horas 21 minutos;19248;OK
16812;SP;CAIEIRAS;METROP. DE SÃO PAULO;SP 3509007;ITAPETININGA;SP;SP 3509007/ITAPETININGA;190 km;190417;2 horas 31 minutos;9044;OK
