uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;distancia_txt;dist_value;duracao_txt;duracao_value;Status
AL;JEQUIÁ DA PRAIA;ALAGOAS;AL 2703759;BELA VISTA DE GOIÁS;GO;2.074 km;2073547;1 dia 3 horas;96523;OK
AL;JUNQUEIRO;ALAGOAS;AL 2704005;BELA VISTA DE GOIÁS;GO;2.035 km;2034713;1 dia 2 horas;94448;OK
AL;ROTEIRO;ALAGOAS;AL 2707800;BELA VISTA DE GOIÁS;GO;0;0;0;0;NOT_FOUND
AL;SÃO MIGUEL DOS CAMPOS;ALAGOAS;AL 2708600;BELA VISTA DE GOIÁS;GO;2.086 km;2085815;1 dia 3 horas;96941;OK
AL;TEOTÔNIO VILELA;ALAGOAS;AL 2709152;BELA VISTA DE GOIÁS;GO;2.043 km;2042509;1 dia 2 horas;94571;OK
AL;FELIZ DESERTO;ALAGOAS;AL 2702702;BELA VISTA DE GOIÁS;GO;2.037 km;2036853;1 dia 3 horas;96151;OK
AL;IGREJA NOVA;ALAGOAS;AL 2703205;BELA VISTA DE GOIÁS;GO;1.995 km;1995334;1 dia 2 horas;92175;OK
AL;PENEDO;ALAGOAS;AL 2706703;BELA VISTA DE GOIÁS;GO;1.988 km;1987773;1 dia 2 horas;93253;OK
AL;PIAÇABUÇU;ALAGOAS;AL 2706802;BELA VISTA DE GOIÁS;GO;2.015 km;2014909;1 dia 2 horas;94948;OK
AL;PORTO REAL DO COLÉGIO;ALAGOAS;AL 2707503;BELA VISTA DE GOIÁS;GO;1.975 km;1974810;1 dia 1 hora;91760;OK
AM;BARCELOS;AMAZONAS;AM 1300409;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;NOVO AIRÃO;AMAZONAS;AM 1303205;BELA VISTA DE GOIÁS;GO;3.492 km;3492186;2 dias 0 horas;172911;OK
AM;SANTA ISABEL DO RIO NEGRO;AMAZONAS;AM 1303601;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;SÃO GABRIEL DA CACHOEIRA;AMAZONAS;AM 1303809;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;JAPURÁ;AMAZONAS;AM 1302108;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;MARAÃ;AMAZONAS;AM 1302801;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;AMATURÁ;AMAZONAS;AM 1300060;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;ATALAIA DO NORTE;AMAZONAS;AM 1300201;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;BENJAMIN CONSTANT;AMAZONAS;AM 1300607;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;FONTE BOA;AMAZONAS;AM 1301605;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;JUTAÍ;AMAZONAS;AM 1302306;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;SANTO ANTÔNIO DO IÇÁ;AMAZONAS;AM 1303700;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;SÃO PAULO DE OLIVENÇA;AMAZONAS;AM 1303908;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;TABATINGA;AMAZONAS;AM 1304062;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;TONANTINS;AMAZONAS;AM 1304237;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;CARAUARI;AMAZONAS;AM 1301001;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;EIRUNEPÉ;AMAZONAS;AM 1301407;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;ENVIRA;AMAZONAS;AM 1301506;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;GUAJARÁ;AMAZONAS;AM 1301654;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;IPIXUNA;AMAZONAS;AM 1301803;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;ITAMARATI;AMAZONAS;AM 1301951;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;JURUÁ;AMAZONAS;AM 1302207;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
AM;ALVARÃES;AMAZONAS;AM 1300029;BELA VISTA DE GOIÁS;GO;0;0;0;0;ZERO_RESULTS
