uf_destino;cidade;macro_regiao;dfiscal;origem;uf_origem;distancia_txt;dist_value;duracao_txt;duracao_value
SP;GARÇA;MARÍLIA;SP 3516705;ITAPETININGA;SP;;;;
SP;GASTÃO VIDIGAL;SÃO J. DO RIO PRETO;SP 3516804;ITAPETININGA;SP;;;;
SP;GAVIÃO PEIXOTO;ARARAQUARA;SP 3516853;ITAPETININGA;SP;;;;
SP;GENERAL SALGADO;SÃO J. DO RIO PRETO;SP 3516903;ITAPETININGA;SP;;;;
SP;GETULINA;BAURU;SP 3517000;ITAPETININGA;SP;;;;
SP;GLICÉRIO;ARAÇATUBA;SP 3517109;ITAPETININGA;SP;;;;
SP;GUAIÇARA;BAURU;SP 3517208;ITAPETININGA;SP;;;;
SP;GUAIMBÊ;BAURU;SP 3517307;ITAPETININGA;SP;;;;
SP;GUAÍRA;RIBEIRÃO PRETO;SP 3517406;ITAPETININGA;SP;;;;
SP;GUAPIAÇU;SÃO J. DO RIO PRETO;SP 3517505;ITAPETININGA;SP;;;;
SP;GUAPIARA;ITAPETININGA;SP 3517604;ITAPETININGA;SP;;;;
SP;GUARÁ;RIBEIRÃO PRETO;SP 3517703;ITAPETININGA;SP;;;;
SP;GUARAÇAÍ;ARAÇATUBA;SP 3517802;ITAPETININGA;SP;;;;
SP;GUARACI;SÃO J. DO RIO PRETO;SP 3517901;ITAPETININGA;SP;;;;
SP;GUARANI D'OESTE;SÃO J. DO RIO PRETO;SP 3518008;ITAPETININGA;SP;;;;
SP;GUARANTÃ;BAURU;SP 3518107;ITAPETININGA;SP;;;;
SP;GUARARAPES;ARAÇATUBA;SP 3518206;ITAPETININGA;SP;;;;
SP;GUARAREMA;METROP. DE SÃO PAULO;SP 3518305;ITAPETININGA;SP;;;;
SP;GUARATINGUETÁ;VALE DO PARAÍBA;SP 3518404;ITAPETININGA;SP;;;;
SP;GUAREÍ;ITAPETININGA;SP 3518503;ITAPETININGA;SP;;;;
SP;GUARIBA;RIBEIRÃO PRETO;SP 3518602;ITAPETININGA;SP;;;;
SP;GUARUJÁ;BAIXADA SANTISTA;SP 3518701;ITAPETININGA;SP;;;;
SP;GUARULHOS;METROP. DE SÃO PAULO;SP 3518800;ITAPETININGA;SP;;;;
SP;GUATAPARÁ;RIBEIRÃO PRETO;SP 3518859;ITAPETININGA;SP;;;;
SP;GUZOLÂNDIA;SÃO J. DO RIO PRETO;SP 3518909;ITAPETININGA;SP;;;;
SP;HERCULÂNDIA;MARÍLIA;SP 3519006;ITAPETININGA;SP;;;;
SP;HOLAMBRA;CAMPINAS;SP 3519055;ITAPETININGA;SP;;;;
SP;HORTOLÂNDIA;CAMPINAS;SP 3519071;ITAPETININGA;SP;;;;
SP;IACANGA;BAURU;SP 3519105;ITAPETININGA;SP;;;;
SP;IACRI;MARÍLIA;SP 3519204;ITAPETININGA;SP;;;;
SP;IARAS;BAURU;SP 3519253;ITAPETININGA;SP;;;;
SP;IBATÉ;ARARAQUARA;SP 3519303;ITAPETININGA;SP;;;;
SP;IBIRÁ;SÃO J. DO RIO PRETO;SP 3519402;ITAPETININGA;SP;;;;
SP;IBIRAREMA;ASSIS;SP 3519501;ITAPETININGA;SP;;;;
SP;IBITINGA;ARARAQUARA;SP 3519600;ITAPETININGA;SP;;;;
SP;IBIÚNA;MACRO MET. PAULISTA;SP 3519709;ITAPETININGA;SP;;;;
SP;ICÉM;SÃO J. DO RIO PRETO;SP 3519808;ITAPETININGA;SP;;;;
SP;IEPÊ;ASSIS;SP 3519907;ITAPETININGA;SP;;;;
SP;IGARAÇU DO TIETÊ;BAURU;SP 3520004;ITAPETININGA;SP;;;;
SP;IGARAPAVA;RIBEIRÃO PRETO;SP 3520103;ITAPETININGA;SP;;;;
SP;IGARATÁ;VALE DO PARAÍBA;SP 3520202;ITAPETININGA;SP;;;;
SP;IGUAPE;LITORAL SUL PAULISTA;SP 3520301;ITAPETININGA;SP;;;;
SP;ILHA COMPRIDA;LITORAL SUL PAULISTA;SP 3520426;ITAPETININGA;SP;;;;
SP;ILHA SOLTEIRA;ARAÇATUBA;SP 3520442;ITAPETININGA;SP;;;;
SP;ILHABELA;VALE DO PARAÍBA;SP 3520400;ITAPETININGA;SP;;;;
SP;INDAIATUBA;CAMPINAS;SP 3520509;ITAPETININGA;SP;;;;
SP;INDIANA;PRESIDENTE PRUDENTE;SP 3520608;ITAPETININGA;SP;;;;
SP;INDIAPORÃ;SÃO J. DO RIO PRETO;SP 3520707;ITAPETININGA;SP;;;;
SP;INÚBIA PAULISTA;PRESIDENTE PRUDENTE;SP 3520806;ITAPETININGA;SP;;;;
SP;IPAUSSU;ASSIS;SP 3520905;ITAPETININGA;SP;;;;
SP;IPERÓ;MACRO MET. PAULISTA;SP 3521002;ITAPETININGA;SP;;;;
SP;IPEÚNA;PIRACICABA;SP 3521101;ITAPETININGA;SP;;;;
SP;IPIGUÁ;SÃO J. DO RIO PRETO;SP 3521150;ITAPETININGA;SP;;;;
SP;IPORANGA;ITAPETININGA;SP 3521200;ITAPETININGA;SP;;;;
SP;IPUÃ;RIBEIRÃO PRETO;SP 3521309;ITAPETININGA;SP;;;;
SP;IRACEMÁPOLIS;PIRACICABA;SP 3521408;ITAPETININGA;SP;;;;
SP;IRAPUÃ;SÃO J. DO RIO PRETO;SP 3521507;ITAPETININGA;SP;;;;
SP;IRAPURU;PRESIDENTE PRUDENTE;SP 3521606;ITAPETININGA;SP;;;;
SP;ITABERÁ;ITAPETININGA;SP 3521705;ITAPETININGA;SP;;;;
SP;ITAÍ;BAURU;SP 3521804;ITAPETININGA;SP;;;;
SP;ITAJOBI;SÃO J. DO RIO PRETO;SP 3521903;ITAPETININGA;SP;;;;
SP;ITAJU;BAURU;SP 3522000;ITAPETININGA;SP;;;;
SP;ITANHAÉM;BAIXADA SANTISTA;SP 3522109;ITAPETININGA;SP;;;;
SP;ITAÓCA;ITAPETININGA;SP 3522158;ITAPETININGA;SP;;;;
SP;ITAPECERICA DA SERRA;METROP. DE SÃO PAULO;SP 3522208;ITAPETININGA;SP;;;;
SP;ITAPETININGA;ITAPETININGA;SP 3522307;ITAPETININGA;SP;;;;
SP;ITAPEVA;ITAPETININGA;SP 3522406;ITAPETININGA;SP;;;;
SP;ITAPEVI;METROP. DE SÃO PAULO;SP 3522505;ITAPETININGA;SP;;;;
SP;ITAPIRA;CAMPINAS;SP 3522604;ITAPETININGA;SP;;;;
SP;ITAPIRAPUÃ PAULISTA;ITAPETININGA;SP 3522653;ITAPETININGA;SP;;;;
SP;ITÁPOLIS;ARARAQUARA;SP 3522703;ITAPETININGA;SP;;;;
SP;ITAPORANGA;ITAPETININGA;SP 3522802;ITAPETININGA;SP;;;;
SP;ITAPUÍ;BAURU;SP 3522901;ITAPETININGA;SP;;;;
SP;ITAPURA;ARAÇATUBA;SP 3523008;ITAPETININGA;SP;;;;
SP;ITAQUAQUECETUBA;METROP. DE SÃO PAULO;SP 3523107;ITAPETININGA;SP;;;;
SP;ITARARÉ;ITAPETININGA;SP 3523206;ITAPETININGA;SP;;;;
SP;ITARIRI;LITORAL SUL PAULISTA;SP 3523305;ITAPETININGA;SP;;;;
SP;ITATIBA;MACRO MET. PAULISTA;SP 3523404;ITAPETININGA;SP;;;;
SP;ITATINGA;BAURU;SP 3523503;ITAPETININGA;SP;;;;
SP;ITIRAPINA;PIRACICABA;SP 3523602;ITAPETININGA;SP;;;;
SP;ITIRAPUÃ;RIBEIRÃO PRETO;SP 3523701;ITAPETININGA;SP;;;;
SP;ITOBI;CAMPINAS;SP 3523800;ITAPETININGA;SP;;;;
